iter	Passed	Remaining
645	1036	568
646	1038	566
647	1039	564
648	1040	562
649	1042	561
650	1043	559
651	1045	557
652	1046	556
653	1047	554
654	1049	552
655	1050	551
656	1052	549
657	1053	547
658	1055	546
659	1056	544
660	1058	542
661	1059	540
662	1061	539
663	1062	537
664	1064	536
665	1065	534
666	1067	532
667	1068	531
668	1070	529
669	1071	527
670	1072	525
671	1074	524
672	1075	522
673	1077	521
674	1078	519
675	1080	517
676	1082	516
677	1083	514
678	1084	512
679	1086	511
680	1087	509
681	1088	507
682	1090	505
683	1091	504
684	1093	502
685	1094	501
686	1096	499
687	1097	497
688	1099	496
689	1100	494
690	1102	492
691	1103	491
692	1105	489
693	1106	488
694	1108	486
695	1109	484
696	1110	482
697	1112	481
698	1113	479
699	1115	477
700	1116	476
701	1117	474
702	1119	472
703	1120	471
704	1122	469
705	1123	467
706	1124	466
707	1125	464
708	1127	462
709	1128	460
710	1130	459
711	1131	457
712	1133	456
713	1134	454
714	1135	452
715	1137	451
716	1138	449
717	1139	447
718	1140	445
719	1142	444
720	1143	442
721	1145	440
722	1146	439
723	1148	437
724	1149	436
725	1151	434
726	1152	432
727	1153	431
728	1155	429
729	1156	427
730	1157	426
731	1159	424
732	1160	422
733	1161	420
734	1162	419
735	1164	417
736	1165	415
737	1166	414
738	1167	412
739	1169	410
740	1170	409
741	1171	407
742	1173	405
743	1174	404
744	1175	402
745	1177	400
746	1178	399
747	1179	397
748	1180	395
749	1182	394
750	1183	392
751	1185	390
752	1186	389
753	1187	387
754	1189	385
755	1190	384
756	1191	382
757	1192	380
758	1193	379
759	1195	377
760	1196	375
761	1198	374
762	1199	372
763	1200	370
764	1202	369
765	1203	367
766	1205	366
767	1206	364
768	1207	362
769	1208	361
770	1210	359
771	1211	357
772	1213	356
773	1214	354
774	1215	353
775	1217	351
776	1218	349
777	1220	348
778	1221	346
779	1223	345
780	1224	343
781	1226	341
782	1227	340
783	1228	338
784	1230	336
785	1231	335
786	1232	333
787	1234	332
788	1235	330
789	1236	328
790	1237	327
791	1239	325
792	1241	323
793	1242	322
794	1243	320
795	1244	319
796	1246	317
797	1247	315
798	1248	314
799	1249	312
800	1251	310
801	1252	309
802	1253	307
803	1255	305
804	1256	304
805	1257	302
806	1258	301
807	1260	299
808	1261	297
809	1262	296
810	1263	294
811	1265	292
812	1266	291
813	1267	289
814	1268	288
815	1270	286
816	1271	284
817	1272	283
818	1273	281
819	1274	279
820	1275	278
821	1277	276
822	1278	274
823	1279	273
824	1280	271
825	1281	270
826	1283	268
827	1284	266
828	1286	265
829	1287	263
830	1288	262
831	1290	260
832	1291	258
833	1292	257
834	1294	255
835	1295	254
836	1296	252
837	1298	250
838	1299	249
839	1301	247
840	1302	246
841	1304	244
842	1305	243
843	1306	241
844	1308	239
845	1309	238
846	1310	236
847	1311	235
848	1312	233
849	1314	231
850	1315	230
851	1316	228
852	1317	227
853	1318	225
854	1320	223
855	1321	222
